City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,293.51,79,0,2.13,US,2021-07-24 00:34:30
1,Cabot,34.9745,-92.0165,305.18,58,1,2.06,US,2021-07-24 00:41:35
2,Tasiilaq,65.6145,-37.6368,278.24,99,100,1.56,GL,2021-07-24 00:34:38
3,San Vicente,-26.6167,-54.1333,287.36,66,0,1.38,AR,2021-07-24 00:38:40
4,Tegal,-6.8694,109.1402,299.9,71,7,1.96,ID,2021-07-24 00:43:14
5,Te Anau,-45.4167,167.7167,282.97,75,13,0.63,NZ,2021-07-24 00:33:00
6,Rikitea,-23.1203,-134.9692,294.57,59,6,6.11,PF,2021-07-24 00:34:43
7,Tessalit,20.1986,1.0114,305.09,32,100,3.91,ML,2021-07-24 00:37:14
8,Vuktyl,63.8567,57.3094,285.28,63,98,4.16,RU,2021-07-24 00:43:15
9,Castro,-24.7911,-50.0119,283.82,78,0,1.6,BR,2021-07-24 00:35:11
10,Vaini,-21.2,-175.2,300.24,83,40,2.57,TO,2021-07-24 00:34:00
11,New Norfolk,-42.7826,147.0587,283.87,76,100,3.16,AU,2021-07-24 00:36:52
12,Xaxim,-26.9617,-52.5347,286.08,68,0,1.81,BR,2021-07-24 00:43:16
13,Nikolskoye,59.7035,30.7861,288.09,67,100,1.72,RU,2021-07-24 00:31:29
14,Meadow Lake,34.8014,-106.5436,298.23,39,79,5.97,US,2021-07-24 00:43:16
15,Sovetskaya Gavan,48.9723,140.2878,299.61,71,100,3.31,RU,2021-07-24 00:43:16
16,Glenwood Springs,39.5505,-107.3248,300.6,58,90,1.54,US,2021-07-24 00:43:17
17,Subtanjalla,-14.0189,-75.7581,287.45,75,2,0.9,PE,2021-07-24 00:43:17
18,Buchanan,5.8808,-10.0467,297.73,83,100,4.19,LR,2021-07-24 00:36:57
19,Ilulissat,69.2167,-51.1,279.16,87,75,3.09,GL,2021-07-24 00:35:32
20,Upernavik,72.7868,-56.1549,277.36,94,100,3.5,GL,2021-07-24 00:35:09
21,Ushuaia,-54.8,-68.3,275.96,75,75,4.63,AR,2021-07-24 00:33:53
22,Busselton,-33.65,115.3333,283.2,70,100,5.56,AU,2021-07-24 00:34:46
23,Hobart,-42.8794,147.3294,284.07,66,75,5.14,AU,2021-07-24 00:35:00
24,New Braunfels,29.703,-98.1245,306.22,64,1,1.34,US,2021-07-24 00:41:30
25,Tuktoyaktuk,69.4541,-133.0374,288.15,51,40,6.17,CA,2021-07-24 00:35:46
26,Barrow,71.2906,-156.7887,277.16,87,90,8.75,US,2021-07-24 00:35:34
27,Cristobal Obregon,16.35,-93.5333,301.74,89,13,1.71,MX,2021-07-24 00:43:18
28,Wanning,18.8003,110.3967,302.01,73,54,1.78,CN,2021-07-24 00:37:07
29,Tiksi,71.6872,128.8694,281.14,81,43,3.89,RU,2021-07-24 00:35:27
30,Cape Town,-33.9258,18.4232,283.12,57,0,1.34,ZA,2021-07-24 00:31:34
31,Cabo San Lucas,22.8909,-109.9124,310.1,48,1,5.14,MX,2021-07-24 00:31:20
32,Eunice,30.4944,-92.4176,305.13,82,100,3.33,US,2021-07-24 00:43:19
33,Jamestown,42.097,-79.2353,295.77,52,1,2.57,US,2021-07-24 00:34:23
34,Bluff,-46.6,168.3333,285.82,64,17,3.22,NZ,2021-07-24 00:33:54
35,Padang,-0.9492,100.3543,300.03,72,100,0.96,ID,2021-07-24 00:32:26
36,Manono,-7.3,27.4167,298.13,31,100,1.77,CD,2021-07-24 00:43:20
37,Cayenne,4.9333,-52.3333,300.98,80,0,1.79,GF,2021-07-24 00:37:00
38,Belmonte,-15.8631,-38.8828,293.43,79,100,4.35,BR,2021-07-24 00:43:21
39,De-Kastri,51.4667,140.7833,298.66,70,99,2.54,RU,2021-07-24 00:43:21
40,Yellowknife,62.456,-114.3525,296.44,53,75,7.2,CA,2021-07-24 00:31:49
41,Nalut,30.3333,10.85,299.94,20,0,4.51,LY,2021-07-24 00:43:21
42,Kapaa,22.0752,-159.319,302.14,81,90,2.24,US,2021-07-24 00:34:35
43,Palmer,42.1584,-72.3287,294.9,75,75,0.0,US,2021-07-24 00:39:05
44,Iqaluit,63.7506,-68.5145,284.0,62,75,5.36,CA,2021-07-24 00:32:22
45,Rakaia,-43.75,172.0167,284.16,63,0,3.68,NZ,2021-07-24 00:43:22
46,Dikson,73.5069,80.5464,280.44,74,100,10.49,RU,2021-07-24 00:33:56
47,Port-Gentil,-0.7193,8.7815,296.59,82,100,4.4,GA,2021-07-24 00:43:23
48,Porbandar,21.6422,69.6093,301.31,84,100,7.57,IN,2021-07-24 00:43:23
49,Hermanus,-34.4187,19.2345,281.62,66,0,4.39,ZA,2021-07-24 00:34:30
50,Bardiyah,31.7561,25.0865,298.47,63,0,7.71,LY,2021-07-24 00:43:23
51,Kassala,15.451,36.4,296.81,83,94,6.04,SD,2021-07-24 00:43:24
52,Cherskiy,68.75,161.3,285.2,57,98,4.95,RU,2021-07-24 00:33:11
53,Atuona,-9.8,-139.0333,298.16,78,25,4.98,PF,2021-07-24 00:34:56
54,Bredasdorp,-34.5322,20.0403,281.77,76,0,3.6,ZA,2021-07-24 00:31:32
55,Butaritari,3.0707,172.7902,301.55,77,0,7.35,KI,2021-07-24 00:34:21
56,Mayo,38.8876,-76.5119,299.74,66,1,0.0,US,2021-07-24 00:35:25
57,Watsa,3.0372,29.5355,290.82,97,91,0.8,CD,2021-07-24 00:43:25
58,Trairi,-3.2778,-39.2689,299.36,77,58,5.22,BR,2021-07-24 00:42:36
59,Khatanga,71.9667,102.5,286.44,62,97,1.86,RU,2021-07-24 00:35:13
60,Hamilton,39.1834,-84.5333,300.5,71,1,1.54,US,2021-07-24 00:35:50
61,Raudeberg,61.9875,5.1352,287.52,90,20,2.15,NO,2021-07-24 00:43:25
62,Kamenka,51.3223,42.7678,287.7,68,0,2.86,RU,2021-07-24 00:39:32
63,Port Lincoln,-34.7333,135.8667,285.38,71,100,13.23,AU,2021-07-24 00:34:53
64,Puerto Ayora,-0.7393,-90.3518,295.68,85,75,3.13,EC,2021-07-24 00:31:15
65,Helong,42.5397,128.9972,304.25,56,75,1.15,CN,2021-07-24 00:36:38
66,Walvis Bay,-22.9575,14.5053,292.68,11,0,9.26,NA,2021-07-24 00:33:05
67,Mataura,-46.1927,168.8643,285.64,65,16,1.76,NZ,2021-07-24 00:34:19
68,Port Hardy,50.6996,-127.4199,288.25,94,90,1.03,CA,2021-07-24 00:37:59
69,Ngunguru,-35.6167,174.5,287.35,70,10,2.82,NZ,2021-07-24 00:43:27
70,Lompoc,34.6391,-120.4579,302.67,71,20,6.69,US,2021-07-24 00:35:10
71,Yulara,-25.2406,130.9889,288.26,37,100,5.68,AU,2021-07-24 00:34:58
72,San Patricio,28.017,-97.5169,305.38,69,0,6.8,US,2021-07-24 00:35:05
73,Punta Arenas,-53.15,-70.9167,277.21,81,0,10.8,CL,2021-07-24 00:34:28
74,Corrales,35.2378,-106.6067,299.1,63,40,2.68,US,2021-07-24 00:43:28
75,Maningrida,-12.0667,134.2667,301.3,57,6,1.54,AU,2021-07-24 00:43:28
76,Vardo,70.3705,31.1107,280.93,83,100,16.43,NO,2021-07-24 00:35:24
77,Port Blair,11.6667,92.75,300.89,83,100,9.65,IN,2021-07-24 00:35:37
78,Rawson,-43.3002,-65.1023,281.52,39,52,4.4,AR,2021-07-24 00:39:19
79,Chokurdakh,70.6333,147.9167,280.63,62,98,6.35,RU,2021-07-24 00:34:14
80,Sioux Lookout,50.1001,-91.917,299.36,83,90,2.57,CA,2021-07-24 00:37:45
81,Ribeira Grande,38.5167,-28.7,294.86,95,99,3.33,PT,2021-07-24 00:36:29
82,Port Alfred,-33.5906,26.891,283.77,68,58,1.87,ZA,2021-07-24 00:34:42
83,Ancud,-41.8697,-73.8203,275.89,79,0,3.91,CL,2021-07-24 00:37:12
84,Georgetown,5.4112,100.3354,301.98,87,20,0.51,MY,2021-07-24 00:34:33
85,Saskylakh,71.9167,114.0833,284.57,76,100,7.26,RU,2021-07-24 00:35:48
86,Tautira,-17.7333,-149.15,302.16,67,0,3.57,PF,2021-07-24 00:43:30
87,Leningradskiy,69.3833,178.4167,278.21,77,99,2.98,RU,2021-07-24 00:34:08
88,Saint-Philippe,-21.3585,55.7679,291.92,73,37,2.65,RE,2021-07-24 00:31:39
89,Cap Malheureux,-19.9842,57.6142,293.42,79,29,1.34,MU,2021-07-24 00:43:30
90,Ahipara,-35.1667,173.1667,288.31,59,0,1.77,NZ,2021-07-24 00:31:28
91,Havre-Saint-Pierre,50.2334,-63.5986,286.35,100,90,1.03,CA,2021-07-24 00:34:29
92,Chifeng,42.2683,118.9636,300.3,59,99,3.89,CN,2021-07-24 00:39:10
93,Thompson,55.7435,-97.8558,293.24,56,75,8.23,CA,2021-07-24 00:31:58
94,Ponta Do Sol,32.6667,-17.1,294.66,77,1,2.58,PT,2021-07-24 00:34:16
95,Rantepao,-2.9701,119.8978,296.05,83,94,1.1,ID,2021-07-24 00:35:18
96,Souillac,-20.5167,57.5167,293.36,88,75,1.54,MU,2021-07-24 00:35:47
97,Saldanha,-33.0117,17.9442,278.18,64,0,3.89,ZA,2021-07-24 00:34:46
98,Elesbao Veloso,-6.2019,-42.1403,294.95,37,1,1.68,BR,2021-07-24 00:43:32
99,Loubomo,-4.1997,12.6739,291.38,91,3,1.24,CG,2021-07-24 00:43:32
100,Aykhal,66.0,111.5,289.77,73,100,7.86,RU,2021-07-24 00:35:33
101,Sitka,57.0531,-135.33,287.09,82,90,6.17,US,2021-07-24 00:37:24
102,Kununurra,-15.7667,128.7333,296.14,60,40,1.03,AU,2021-07-24 00:36:25
103,Hithadhoo,-0.6,73.0833,300.23,74,67,0.94,MV,2021-07-24 00:33:56
104,Lebu,-37.6167,-73.65,282.68,83,100,4.78,CL,2021-07-24 00:34:14
105,Havoysund,70.9963,24.6622,280.64,86,100,12.48,NO,2021-07-24 00:43:33
106,Ust-Omchug,61.15,149.6333,289.24,71,83,0.53,RU,2021-07-24 00:43:33
107,Chuy,-33.6971,-53.4616,288.19,89,5,1.98,UY,2021-07-24 00:35:55
108,Reconquista,-29.15,-59.65,291.23,51,0,3.8,AR,2021-07-24 00:43:34
109,Broome,42.2506,-75.833,295.47,67,1,3.09,US,2021-07-24 00:43:34
110,Port Elizabeth,-33.918,25.5701,281.31,81,0,1.54,ZA,2021-07-24 00:34:23
111,Bethel,41.3712,-73.414,296.86,72,75,2.57,US,2021-07-24 00:33:33
112,Kontagora,10.3999,5.4695,294.75,92,100,1.55,NG,2021-07-24 00:43:35
113,Manokwari,-0.8667,134.0833,298.25,86,100,1.92,ID,2021-07-24 00:36:24
114,Vila,42.0304,-8.1588,285.0,86,13,0.94,PT,2021-07-24 00:43:35
115,Nagorsk,59.3172,50.8078,284.21,97,100,3.57,RU,2021-07-24 00:43:36
116,Turayf,31.6725,38.6637,297.29,73,0,5.14,SA,2021-07-24 00:43:36
117,Zhigansk,66.7697,123.3711,295.29,43,98,4.15,RU,2021-07-24 00:36:44
118,Bontang,0.1333,117.5,300.59,78,100,3.87,ID,2021-07-24 00:40:14
119,Sakaiminato,35.55,133.2333,304.14,58,75,2.06,JP,2021-07-24 00:43:37
120,Zhaodong,46.0833,125.9833,301.16,58,42,6.95,CN,2021-07-24 00:43:37
121,Xichang,27.8964,102.2634,294.87,84,97,0.88,CN,2021-07-24 00:39:09
122,Kailua,21.4022,-157.7394,305.14,68,75,6.69,US,2021-07-24 00:42:01
123,Codrington,-38.2667,141.9667,282.66,81,78,7.43,AU,2021-07-24 00:35:11
124,Olden,61.8364,6.8064,287.74,82,100,0.3,NO,2021-07-24 00:43:38
125,Longyearbyen,78.2186,15.6401,280.06,87,75,2.57,SJ,2021-07-24 00:35:06
126,Necochea,-38.5473,-58.7368,282.06,72,100,5.29,AR,2021-07-24 00:43:38
127,North Platte,41.1239,-100.7654,307.6,37,1,1.79,US,2021-07-24 00:39:01
128,Avarua,-21.2078,-159.775,299.18,65,1,6.17,CK,2021-07-24 00:35:12
129,Paulista,-7.9408,-34.8731,296.07,78,4,6.21,BR,2021-07-24 00:43:39
130,Tupik,54.4253,119.9327,289.24,93,100,1.87,RU,2021-07-24 00:43:39
131,Tuscaloosa,33.2098,-87.5692,298.13,98,20,2.57,US,2021-07-24 00:43:40
132,Kenai,60.5544,-151.2583,291.01,73,90,2.06,US,2021-07-24 00:39:08
133,Filadelfia,39.9523,-75.1638,299.29,61,1,1.54,US,2021-07-24 00:38:44
134,Solnechnyy,50.7214,136.6319,305.87,45,10,2.3,RU,2021-07-24 00:43:40
135,Carnarvon,-24.8667,113.6333,287.19,61,90,4.12,AU,2021-07-24 00:35:14
136,Hami,42.8,93.45,301.85,49,74,7.45,CN,2021-07-24 00:34:33
137,Dunedin,-45.8742,170.5036,285.26,52,14,4.47,NZ,2021-07-24 00:36:02
138,Te Karaka,-38.4654,177.8679,285.58,82,59,1.35,NZ,2021-07-24 00:43:41
139,Makaha,21.4694,-158.2175,305.1,65,75,4.12,US,2021-07-24 00:43:41
140,Pevek,69.7008,170.3133,277.69,93,85,0.66,RU,2021-07-24 00:34:31
141,Hasaki,35.7333,140.8333,303.31,71,5,3.33,JP,2021-07-24 00:35:37
142,Martil,35.6166,-5.2752,301.14,88,0,2.57,MA,2021-07-24 00:43:42
143,Porto Belo,-27.1578,-48.5531,290.91,94,3,3.21,BR,2021-07-24 00:43:42
144,Umm Bab,25.2142,50.8072,305.97,63,0,1.31,QA,2021-07-24 00:43:43
145,Karla,59.3723,24.9275,289.13,77,0,2.06,EE,2021-07-24 00:43:43
146,Mahebourg,-20.4081,57.7,293.31,88,75,1.54,MU,2021-07-24 00:35:11
147,Torbay,47.6666,-52.7314,287.53,98,90,2.57,CA,2021-07-24 00:36:03
148,Galveston,29.3669,-94.9669,306.21,79,1,1.34,US,2021-07-24 00:43:44
149,Caravelas,-17.7125,-39.2481,293.94,75,100,3.74,BR,2021-07-24 00:33:59
150,Saint George,37.1041,-113.5841,310.51,23,75,3.13,US,2021-07-24 00:35:43
151,Ongandjera,-17.8833,15.0667,283.48,14,0,4.13,NA,2021-07-24 00:43:45
152,Nyurba,63.2842,118.3319,295.92,52,3,1.97,RU,2021-07-24 00:34:52
153,Chicama,-7.8447,-79.1469,291.45,81,61,3.19,PE,2021-07-24 00:43:45
154,Mercogliano,40.9221,14.7418,295.29,80,1,1.1,IT,2021-07-24 00:43:45
155,Katsuura,35.1333,140.3,302.21,70,4,2.89,JP,2021-07-24 00:34:44
156,Mar Del Plata,-38.0023,-57.5575,284.33,60,75,4.92,AR,2021-07-24 00:35:44
157,Husavik,66.0449,-17.3389,289.1,83,50,2.21,IS,2021-07-24 00:34:55
158,Vallenar,-28.5708,-70.7581,286.8,67,0,1.66,CL,2021-07-24 00:43:47
159,Araxa,-19.5933,-46.9406,290.13,51,0,3.6,BR,2021-07-24 00:43:47
160,Kyaukse,21.6,96.1333,300.53,78,53,3.62,MM,2021-07-24 00:43:48
161,Sharan,54.8167,54.0,288.07,63,45,1.55,RU,2021-07-24 00:43:48
162,Paamiut,61.994,-49.6678,279.05,89,100,4.95,GL,2021-07-24 00:35:51
163,Mehamn,71.0357,27.8492,280.17,90,100,14.26,NO,2021-07-24 00:37:14
164,Chara,56.9064,118.2631,290.57,73,100,2.26,RU,2021-07-24 00:43:48
165,Arraial Do Cabo,-22.9661,-42.0278,293.94,70,0,9.04,BR,2021-07-24 00:34:26
166,Bac Lieu,9.285,105.7244,301.5,78,97,6.0,VN,2021-07-24 00:36:43
167,Mandalgovi,45.7625,106.2708,294.12,40,100,1.76,MN,2021-07-24 00:43:49
168,Duartina,-22.4144,-49.4039,294.79,39,0,2.4,BR,2021-07-24 00:43:50
169,Vaitape,-16.5167,-151.75,298.85,68,16,5.62,PF,2021-07-24 00:35:35
170,Manavalakurichi,8.1333,77.3,297.2,85,100,6.37,IN,2021-07-24 00:43:50
171,Narsaq,60.9167,-46.05,282.27,75,28,1.6,GL,2021-07-24 00:35:38
172,Maturin,9.75,-63.1767,297.57,90,100,2.42,VE,2021-07-24 00:41:20
173,Wakefield,53.6809,-1.499,290.17,81,100,0.45,GB,2021-07-24 00:41:02
174,Urengoy,65.9667,78.3667,285.76,78,100,7.39,RU,2021-07-24 00:43:51
175,Gimbi,9.1667,35.8333,285.97,98,100,1.55,ET,2021-07-24 00:43:51
176,Pangnirtung,66.1451,-65.7125,280.97,71,15,1.19,CA,2021-07-24 00:36:42
177,Takoradi,4.8845,-1.7554,296.71,83,98,3.49,GH,2021-07-24 00:43:52
178,Altay,47.8667,88.1167,296.87,52,33,0.83,CN,2021-07-24 00:43:52
179,North Vanlaiphai,23.1333,93.0667,291.41,96,89,0.71,IN,2021-07-24 00:43:52
180,Meulaboh,4.1363,96.1285,298.95,81,87,1.8,ID,2021-07-24 00:43:52
181,Tiarei,-17.5333,-149.3333,302.16,66,5,4.23,PF,2021-07-24 00:43:53
182,Touros,-5.1989,-35.4608,296.65,85,18,6.97,BR,2021-07-24 00:42:44
183,Muros,42.7762,-9.0603,291.53,88,20,2.2,ES,2021-07-24 00:36:12
184,Kalundborg,55.6795,11.0886,289.89,79,0,2.95,DK,2021-07-24 00:43:53
185,Salalah,17.0151,54.0924,298.2,100,90,4.63,OM,2021-07-24 00:36:04
186,Kurilsk,45.2333,147.8833,292.34,83,75,1.89,RU,2021-07-24 00:43:54
187,Antonina,-25.4286,-48.7119,292.1,99,8,0.93,BR,2021-07-24 00:42:35
188,Anloga,5.7947,0.8973,297.51,84,11,5.08,GH,2021-07-24 00:43:55
189,Kahului,20.8947,-156.47,303.16,71,40,11.32,US,2021-07-24 00:43:55
190,Surt,31.2089,16.5887,298.86,69,0,1.86,LY,2021-07-24 00:43:55
191,Tual,-5.6667,132.75,299.64,80,100,7.79,ID,2021-07-24 00:35:20
192,Aksarka,66.5606,67.7975,283.69,83,6,4.12,RU,2021-07-24 00:34:38
193,Morondava,-20.2833,44.2833,293.08,65,13,9.04,MG,2021-07-24 00:36:37
194,Nanortalik,60.1432,-45.2371,278.88,88,92,4.68,GL,2021-07-24 00:34:53
195,Amapa,1.0,-52.0,294.95,91,16,1.35,BR,2021-07-24 00:37:21
196,Opuwo,-18.0607,13.84,284.37,12,0,3.81,NA,2021-07-24 00:43:57
197,Kaitangata,-46.2817,169.8464,284.78,62,16,2.08,NZ,2021-07-24 00:34:45
198,Weener,53.1667,7.35,289.15,94,1,3.05,DE,2021-07-24 00:43:57
199,Karratha,-20.7377,116.8463,296.41,36,0,7.68,AU,2021-07-24 00:43:58
200,Mirnyy,62.5353,113.9611,295.45,47,13,3.55,RU,2021-07-24 00:43:58
201,Soldato-Aleksandrovskoye,44.2653,43.7561,293.01,91,24,3.15,RU,2021-07-24 00:43:59
202,Moerai,-22.4333,-151.3333,295.44,65,100,4.56,PF,2021-07-24 00:43:59
203,Smithers,54.7804,-127.1743,289.33,77,75,2.57,CA,2021-07-24 00:43:57
204,Belaya Gora,68.5333,146.4167,291.63,38,26,3.89,RU,2021-07-24 00:44:00
205,Puerto Leguizamo,-0.1934,-74.7819,295.15,96,100,1.32,CO,2021-07-24 00:44:00
206,Sao Filipe,14.8961,-24.4956,296.75,75,30,3.54,CV,2021-07-24 00:36:05
207,Eyl,7.9803,49.8164,298.33,69,27,12.23,SO,2021-07-24 00:35:43
208,Ahuimanu,21.4447,-157.8378,304.99,63,75,6.69,US,2021-07-24 00:44:01
209,Birjand,32.8663,59.2211,295.41,18,0,2.06,IR,2021-07-24 00:44:01
210,Werda,-25.2667,23.2833,276.05,21,0,3.52,BW,2021-07-24 00:36:33
211,Payakumbuh,-0.2202,100.6308,297.55,78,94,1.1,ID,2021-07-24 00:44:01
212,Mongoumba,3.6415,18.5936,294.03,96,83,1.29,CF,2021-07-24 00:44:02
213,Namibe,-15.1961,12.1522,291.44,84,0,1.95,AO,2021-07-24 00:37:16
