City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,dikson,73.5069,80.5464,276.67,89,54,5.89,RU,broken clouds
1,balad,34.0164,44.1453,313.07,14,0,4.85,IQ,clear sky
2,vilhena,-12.7406,-60.1458,303.27,39,0,5.66,BR,clear sky
3,busselton,-33.65,115.3333,287.64,66,44,8.69,AU,scattered clouds
4,rikitea,-23.1203,-134.9692,294.45,65,97,1.75,PF,overcast clouds
5,ponta do sol,32.6667,-17.1,299.66,74,6,2.27,PT,clear sky
6,geraldton,-28.7667,114.6,282.38,93,75,5.14,AU,broken clouds
7,baruun-urt,46.6806,113.2792,290.34,63,100,6.33,MN,overcast clouds
8,hasaki,35.7333,140.8333,297.37,79,0,6.36,JP,clear sky
9,atuona,-9.8,-139.0333,298.36,72,52,10.58,PF,broken clouds
10,gat,31.61,34.7642,301.93,75,0,5.17,IL,clear sky
11,cape town,-33.9258,18.4232,289.97,49,0,1.03,ZA,clear sky
12,kapaa,22.0752,-159.319,299.33,84,75,0.45,US,light rain
13,okhotsk,59.3833,143.3,286.23,98,100,2.59,RU,heavy intensity rain
14,cozumel,20.5083,-86.9458,305.14,72,1,1.34,MX,clear sky
15,topana,44.8167,24.5167,295.04,55,32,2.81,RO,scattered clouds
16,saskylakh,71.9167,114.0833,284.63,82,40,3.56,RU,scattered clouds
17,nuuk,64.1835,-51.7216,284.49,62,40,2.06,GL,scattered clouds
18,elko,41.0002,-115.5012,304.67,13,7,0.45,US,clear sky
19,namibe,-15.1961,12.1522,293.18,67,0,1.7,AO,clear sky
20,haileybury,47.449,-79.6373,297.47,44,32,3.75,CA,scattered clouds
21,new norfolk,-42.7826,147.0587,278.87,71,74,1.34,AU,broken clouds
22,tessalit,20.1986,1.0114,307.65,28,70,5.63,ML,broken clouds
23,karauzyak,20.1986,1.0114,307.65,28,70,5.63,ML,broken clouds
24,saint combs,20.1986,1.0114,307.65,28,70,5.63,ML,broken clouds
25,butaritari,3.0707,172.7902,300.9,76,18,4.61,KI,light rain
26,riyadh,24.6877,46.7219,313.23,11,8,4.43,SA,clear sky
27,norman wells,65.282,-126.8329,290.17,48,20,3.6,CA,few clouds
28,lata,40.1629,-8.3327,297.62,76,83,4.02,PT,broken clouds
29,punta arenas,-53.15,-70.9167,278.21,70,20,7.2,CL,few clouds
30,port elizabeth,-33.918,25.5701,286.31,82,0,0.51,ZA,clear sky
31,nikolskoye,59.7035,30.7861,295.09,64,51,1.08,RU,broken clouds
32,yellowknife,62.456,-114.3525,288.46,51,20,2.06,CA,few clouds
33,barrow,71.2906,-156.7887,279.16,91,90,5.14,US,overcast clouds
34,vila franca do campo,37.7167,-25.4333,296.38,73,46,3.72,PT,scattered clouds
35,tsihombe,37.7167,-25.4333,296.38,73,46,3.72,PT,scattered clouds
36,bredasdorp,-34.5322,20.0403,283.86,87,100,2.57,ZA,overcast clouds
37,novyy urengoy,66.0833,76.6333,287.53,86,100,3.66,RU,overcast clouds
38,itaparica,-12.8883,-38.6786,298.11,64,46,4.87,BR,scattered clouds
39,nanortalik,60.1432,-45.2371,280.53,74,100,5.8,GL,overcast clouds
40,albany,42.6001,-73.9662,301.01,75,94,2.96,US,overcast clouds
41,nizwa,22.9333,57.5333,304.51,52,73,3.17,OM,broken clouds
42,hervey bay,-25.2986,152.8535,284.28,60,78,5.21,AU,broken clouds
43,vaini,-21.2,-175.2,293.24,94,55,0.0,TO,fog
44,lompoc,34.6391,-120.4579,297.42,82,90,0.0,US,overcast clouds
45,mataura,-46.1927,168.8643,281.75,88,100,2.05,NZ,moderate rain
46,hermanus,-34.4187,19.2345,284.15,55,100,3.53,ZA,overcast clouds
47,hurup,56.7494,8.4195,296.31,3,77,6.85,DK,broken clouds
48,ballina,-28.8667,153.5667,279.25,81,0,1.54,AU,clear sky
49,tucupita,9.0622,-62.051,301.68,84,84,2.35,VE,broken clouds
50,airai,-8.9266,125.4092,286.23,51,40,1.37,TL,scattered clouds
51,nizhneyansk,-8.9266,125.4092,286.23,51,40,1.37,TL,scattered clouds
52,ribeira grande,38.5167,-28.7,296.37,78,40,3.09,PT,scattered clouds
53,llanes,43.4198,-4.7549,293.86,87,100,2.54,ES,overcast clouds
54,half moon bay,37.4636,-122.4286,299.21,72,20,0.45,US,few clouds
55,vestmannaeyjar,63.4427,-20.2734,285.7,82,75,12.35,IS,broken clouds
56,konya,38.1667,32.5,297.86,26,36,2.22,TR,scattered clouds
57,klaksvik,62.2266,-6.589,284.66,96,100,5.61,FO,overcast clouds
58,rio grande,-32.035,-52.0986,297.21,70,87,2.56,BR,overcast clouds
59,ushuaia,-54.8,-68.3,274.96,93,90,11.83,AR,light rain
60,mount gambier,-37.8333,140.7667,284.1,93,90,7.2,AU,overcast clouds
61,tuktoyaktuk,69.4541,-133.0374,285.15,100,90,8.75,CA,light rain
62,bambous virieux,-20.3428,57.7575,295.29,60,40,5.14,MU,scattered clouds
63,cayenne,4.9333,-52.3333,302.09,79,40,0.89,GF,scattered clouds
64,obidos,-1.9175,-55.5181,307.15,33,94,3.18,BR,overcast clouds
65,samusu,-1.9175,-55.5181,307.15,33,94,3.18,BR,overcast clouds
66,chokurdakh,70.6333,147.9167,274.9,80,2,4.49,RU,clear sky
67,taoudenni,22.6783,-3.9836,318.7,6,16,4.83,ML,few clouds
68,ilulissat,69.2167,-51.1,286.16,41,40,4.63,GL,scattered clouds
69,pevek,69.7008,170.3133,274.74,90,100,4.24,RU,overcast clouds
